id,city_name,population,rank,state,state_abbr
875,Buffalo Grove,41778,875,Illinois,IL
876,Urbandale,41776,876,Iowa,IA
877,State College,41757,877,Pennsylvania,PA
878,Urbana,41752,878,Illinois,IL
879,Plainfield,41734,879,Illinois,IL
880,Manassas,41705,880,Virginia,VA
881,Bartlett,41679,881,Illinois,IL
882,Kearny,41664,882,New Jersey,NJ
883,Oro Valley,41627,883,Arizona,AZ
884,Findlay,41512,884,Ohio,OH
885,Rohnert Park,41398,885,California,CA
886,Linden,41301,886,New Jersey,NJ
887,Westfield,41301,887,Massachusetts,MA
888,Sumter,41190,888,South Carolina,SC
889,Wilkes-Barre,41108,889,Pennsylvania,PA
890,Woonsocket,41026,890,Rhode Island,RI
891,Leominster,41002,891,Massachusetts,MA
892,Shelton,40999,892,Connecticut,CT
893,Brea,40963,893,California,CA
894,Covington,40956,894,Kentucky,KY
895,Rockwall,40922,895,Texas,TX
896,Meridian,40921,896,Mississippi,MS
897,Riverton,40921,897,Utah,UT
898,St. Cloud,40918,898,Florida,FL
899,Quincy,40915,899,Illinois,IL
900,Morgan Hill,40836,900,California,CA
901,Warren,40768,901,Ohio,OH
902,Edmonds,40727,902,Washington,WA
903,Burleson,40714,903,Texas,TX
904,Beverly,40664,904,Massachusetts,MA
905,Mankato,40641,905,Minnesota,MN
906,Hagerstown,40612,906,Maryland,MD
907,Prescott,40590,907,Arizona,AZ
908,Campbell,40584,908,California,CA
909,Cedar Falls,40566,909,Iowa,IA
910,Beaumont,40481,910,California,CA
911,La Puente,40435,911,California,CA
912,Crystal Lake,40388,912,Illinois,IL
913,Fitchburg,40383,913,Massachusetts,MA
914,Carol Stream,40379,914,Illinois,IL
915,Hickory,40361,915,North Carolina,NC
916,Streamwood,40351,916,Illinois,IL
917,Norwich,40347,917,Connecticut,CT
918,Coppell,40342,918,Texas,TX
919,San Gabriel,40275,919,California,CA
920,Holyoke,40249,920,Massachusetts,MA
921,Bentonville,40167,921,Arkansas,AR
922,Florence,40059,922,Alabama,AL
923,Peachtree Corners,40059,923,Georgia,GA
924,Brentwood,40021,924,Tennessee,TN
925,Bozeman,39860,925,Montana,MT
926,New Berlin,39834,926,Wisconsin,WI
927,Goose Creek,39823,927,South Carolina,SC
928,Huntsville,39795,928,Texas,TX
929,Prescott Valley,39791,929,Arizona,AZ
930,Maplewood,39765,930,Minnesota,MN
931,Romeoville,39650,931,Illinois,IL
932,Duncanville,39605,932,Texas,TX
933,Atlantic City,39551,933,New Jersey,NJ
934,Clovis,39508,934,New Mexico,NM
935,The Colony,39458,935,Texas,TX
936,Culver City,39428,936,California,CA
937,Marlborough,39414,937,Massachusetts,MA
938,Hilton Head Island,39412,938,South Carolina,SC
939,Moorhead,39398,939,Minnesota,MN
940,Calexico,39389,940,California,CA
941,Bullhead City,39383,941,Arizona,AZ
942,Germantown,39375,942,Tennessee,TN
943,La Quinta,39331,943,California,CA
944,Lancaster,39325,944,Ohio,OH
945,Wausau,39309,945,Wisconsin,WI
946,Sherman,39296,946,Texas,TX
947,Ocoee,39172,947,Florida,FL
948,Shakopee,39167,948,Minnesota,MN
949,Woburn,39083,949,Massachusetts,MA
950,Bremerton,39056,950,Washington,WA
951,Rock Island,38877,951,Illinois,IL
952,Muskogee,38863,952,Oklahoma,OK
953,Cape Girardeau,38816,953,Missouri,MO
954,Annapolis,38722,954,Maryland,MD
955,Greenacres,38696,955,Florida,FL
956,Ormond Beach,38661,956,Florida,FL
957,Hallandale Beach,38632,957,Florida,FL
958,Stanton,38623,958,California,CA
959,Puyallup,38609,959,Washington,WA
960,Pacifica,38606,960,California,CA
961,Hanover Park,38510,961,Illinois,IL
962,Hurst,38448,962,Texas,TX
963,Lima,38355,963,Ohio,OH
964,Marana,38290,964,Arizona,AZ
965,Carpentersville,38241,965,Illinois,IL
966,Oakley,38194,966,California,CA
967,Huber Heights,38142,967,Ohio,OH
968,Lancaster,38071,968,Texas,TX
969,Montclair,38027,969,California,CA
970,Wheeling,38015,970,Illinois,IL
971,Brookfield,37999,971,Wisconsin,WI
972,Park Ridge,37839,972,Illinois,IL
973,Florence,37792,973,South Carolina,SC
974,Roy,37733,974,Utah,UT
975,Winter Garden,37711,975,Florida,FL
976,Chelsea,37670,976,Massachusetts,MA
977,Valley Stream,37659,977,New York,NY
978,Spartanburg,37647,978,South Carolina,SC
979,Lake Oswego,37610,979,Oregon,OR
980,Friendswood,37587,980,Texas,TX
981,Westerville,37530,981,Ohio,OH
982,Northglenn,37499,982,Colorado,CO
983,Phenix City,37498,983,Alabama,AL
984,Grove City,37490,984,Ohio,OH
985,Texarkana,37442,985,Texas,TX
986,Addison,37385,986,Illinois,IL
987,Dover,37366,987,Delaware,DE
988,Lincoln Park,37313,988,Michigan,MI
989,Calumet City,37240,989,Illinois,IL
990,Muskegon,37213,990,Michigan,MI
991,Aventura,37199,991,Florida,FL
992,Martinez,37165,992,California,CA
993,Greenfield,37159,993,Wisconsin,WI
994,Apache Junction,37130,994,Arizona,AZ
995,Monrovia,37101,995,California,CA
996,Weslaco,37093,996,Texas,TX
997,Keizer,37064,997,Oregon,OR
998,Spanish Fork,36956,998,Utah,UT
999,Beloit,36888,999,Wisconsin,WI
1000,Panama City,36877,1000,Florida,FL
